Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
4704.513805379568,0.0027197021723804615,0.0026771258296175993,0.001719439207037432,0.002654910457759979,0.0026789700966845242,0.002679203377421613,0.00030517477478272936,0.002443635244932643,0.002671005551849584,0.0026791552707728095,4.711065761928146e-06,0.004501355435548499,0.10713545254939305,0.0026785810343717964,3.070231596735695e-08,0.003641987148795142,0.0026231989365530783,0.0026621808074055175
5651.429401530079,0.0035871389336741555,0.0035416928602352155,0.001863004878026403,0.0035103409157297427,0.0035428225665782576,0.0035439824806669934,0.0003051312226156344,0.0032854794659452208,0.0035082539644810673,0.0035438884264029913,5.29917541759739e-06,0.006361653408962109,0.08097230510358067,0.0035423526938657135,3.5637715375957946e-08,0.0038421437694920735,0.003850186866027977,0.003479082754558091
6788.938368924995,0.004810205045255089,0.004761180946836641,0.002079155609748737,0.004747010800559212,0.004754102706124405,0.004758815765176561,0.00031071128233407797,0.00460791959331866,0.004635719671238547,0.004758441545856237,6.035694606026931e-06,0.008516485424040598,0.07720139235586476,0.004750861575246165,4.227276129142865e-08,0.003854744732003687,0.005957867444390141,0.004523732060426847
8155.402979038095,0.006545704837438049,0.0064938375681019705,0.0024130468885809747,0.006532823351708655,0.006464972900640922,0.0064792259752419895,0.0003210490033419555,0.0065125444295714985,0.006155591949363826,0.006477081785514607,6.929005905889629e-06,0.010735230354534386,0.08271792250380283,0.006437470360537476,4.981575600637722e-08,0.0037083591427015394,0.009301185988623062,0.005798563987052627
9796.90698842435,0.009017404190338862,0.008956323411877937,0.0029233367320943976,0.00899402907785632,0.008906919501237148,0.00892983746432291,0.00033574954486448316,0.008921546242005807,0.008339198285281235,0.008916461904144357,8.008854352092865e-06,0.012818135244950651,0.0834798470789937,0.008744977287554162,6.028729251927878e-08,0.0034777689884748497,0.013988788400850743,0.007414857728741786
11768.809804559573,0.012555925475189467,0.012465691804227574,0.003702800122235575,0.012127470547888264,0.01247427995666553,0.012444415038314366,0.0003553379465752321,0.011569562441144349,0.01183735479576517,0.012375872392943271,9.317860845708958e-06,0.014640433410889442,0.09083857090096892,0.011846284051069578,7.127792643613073e-08,0.0032475494632074053,0.019670534115249355,0.009965696223327603
14137.613471226117,0.01767520738438122,0.01754250996436299,0.004892988406654836,0.01587669116367879,0.017809531481248947,0.017540795057756964,0.0003809405619785017,0.014120640191904038,0.017488881875398266,0.01731464313526465,1.0890491926554557e-05,0.01615707495691729,0.09033670253529014,0.016376190864432316,8.309767710046323e-08,0.0030637230579594332,0.025687742960001925,0.015086774060192737
16983.205437168206,0.025215275324458997,0.02507690499222731,0.006709914680156859,0.02054399575258159,0.025704608251341743,0.025078229194768265,0.00041397967122815127,0.016312152027321197,0.02546098851381956,0.024855342778711043,1.274776688361956e-05,0.017395644116238146,0.0875255620797124,0.024635121373236618,9.698325006968211e-08,0.002963118233351325,0.031387516063102194,0.02553998881196587
20401.552744958753,0.036606785732775426,0.03657354830300763,0.009507141520776974,0.027262818014728407,0.03691960100465705,0.036628854205866423,0.0004556371230696882,0.018044337285657214,0.03451989917682369,0.03793753137950187,1.4917538647768458e-05,0.018470701344943857,0.08359013418768813,0.04070027385204289,1.1565576836514158e-07,0.002952727810902528,0.03639605974938623,0.043907618728124986
24507.938501080487,0.05436789622138505,0.054621144982000686,0.013865833808725664,0.03824347887789936,0.052926126816150276,0.055068028765566046,0.0005065946149216405,0.01941590606124685,0.04252401491834376,0.060214629538324654,1.7404773891269154e-05,0.01956907311354389,0.07332629846513061,0.06651864728677986,1.4506223780519356e-07,0.0030492427143575807,0.04074745153800374,0.07115184989608131
29440.84977655257,0.0830541748497986,0.08387712567081035,0.020782655012479473,0.057245763749924516,0.07804012844279762,0.08495230820297317,0.0005663045683898388,0.020698597369279537,0.04819731459984522,0.09013786646847,2.0231765990669226e-05,0.02092855413324357,0.05865649662267636,0.09783826968693088,1.9380430421600536e-07,0.0032351836319891025,0.0448580666957592,0.10645282879813883
35366.64805680504,0.13111259284799065,0.13307076134525864,0.03203532749666216,0.09095046739064144,0.12167286327357607,0.13357793314285837,0.0006338081599791823,0.022249771837741295,0.05229913974589112,0.11851704347636455,2.343595173720514e-05,0.02277058396529469,0.042557047114552216,0.12696229339288756,2.717384409017809e-07,0.003500026361290265,0.04943792829002236,0.1463705323725174
42485.17975082626,0.21465087210796463,0.21899719731135836,0.05091693969121,0.1520963560270182,0.2012136545397012,0.2163559669948807,0.0007089017216288795,0.024416779405089517,0.056743440551592916,0.1379657169715619,2.7063515407585448e-05,0.025302497376715027,0.02663517707885843,0.15093025649049907,3.8680608781260784e-07,0.0037965493296048813,0.05538258638168514,0.18754018200546008
51036.51597292699,0.3648829692667902,0.37445204117874586,0.08371783301684443,0.2662631821111675,0.3489079195396251,0.3674564990152711,0.0007919329617688958,0.027488439659376307,0.06317443278000767,0.15334614439188154,3.120564216703425e-05,0.028651297520623287,,0.1747500128000955,5.449132872842322e-07,0.004075858615733674,0.06357401704289162,0.2308783377110124
61309.04889496625,0.642861076642091,0.6640543803938774,0.14291134912345127,0.48609433131544966,0.6280267813780867,0.6547924552993534,0.0008865236386363384,0.03169012653696213,0.07261180633363545,0.17431700290586372,3.597631470347862e-05,0.032847492942610024,,0.20619691685939345,7.438145709359745e-07,0.004271131063361688,0.07475429473048723,0.28252365772676
73649.2177169629,1.1669389608945868,1.214143858532658,0.25397266111021105,0.9204330730542809,1.1654052543482891,1.206797534675614,0.0009974581196455917,0.037136291318387915,0.08576596974693962,0.20618723760807733,4.148945930834702e-05,0.03767836376695938,,0.25151444124243083,9.827927966443717e-07,0.004311045473841479,0.08908121022210003,0.3516835956366098
88473.19226258545,2.160684745850561,2.2653645558893647,0.46749768519913537,1.789704844562848,2.2094989132023266,2.2647326599160302,0.0011342550801153872,0.0437478323895803,0.10323415782211165,0.2509530821730155,4.78017154506849e-05,0.04276707685181663,,0.3146498869363141,1.2605647439489776e-06,0.004137854477288899,0.10592484085594145,0.44702125264652737
106280.90822653226,4.015818711537762,4.243438463776476,0.8812634338722862,3.5131216927718167,4.2120974865122776,4.261536524420498,0.0013110849038118627,0.05131872749300387,0.12541548772582223,0.30887486966353417,5.488680246640287e-05,0.04751771512649805,,0.3964202053627315,1.5790352856648315e-06,0.003742157857842432,0.12361753053043556,0.5720763642538178
127672.92740982509,4.070348849568234,3.653614731626792,1.6719211062756818,5.607334394151371,3.886676944149894,3.660368515688761,0.001530689376444419,0.05961318640342317,0.1508591615049646,0.3800136047602707,6.27788237125837e-05,0.0512629676483215,,0.49264641778961993,1.942903008922414e-06,0.0031715829361198267,0.13945175103933494,0.7221538317529101
153370.6915512147,,,3.113865971976245,,,,0.0017584294828650732,0.06854424184680197,0.1780275783335914,0.46793163467078713,7.151050811594895e-05,0.05333617414758973,,0.5925114615806275,2.361155137409199e-06,0.002528221471936848,0.14914844540077676,0.8813793584024983
184240.85281127229,,,5.852935229407745,,,,0.0020310859978991264,0.07799066485663142,0.2070972831938005,0.5563244721550786,8.147072995362548e-05,0.05341499680331285,,0.6794952768453948,2.8708435218516293e-06,0.0019460592839716517,0.15048735964250182,1.021148985600866
221324.50145006945,,,0.3787430213284111,,,,0.002374164516754554,0.08912595065929985,0.24084548586251553,0.6544336251113672,9.279263262813864e-05,0.05146600514296806,,0.7352747285896433,3.4869413041704878e-06,0.0015133713046799613,0.1424532480692191,1.10637078072088
265872.27639626246,,,,,,,0.0027752319669958753,0.10137412001957391,0.27626852710006045,0.7566284703503867,0.00010401289467501518,0.04747177294299054,,0.7441912458734876,4.20465198837372e-06,0.0013657455674567776,0.1253576384024755,1.103918810010457
319386.54280478624,,,,,,,0.00323874778831304,0.11365149847335432,0.3124007277791283,0.8547525728423988,0.00011576440927979492,0.04194204264331969,,0.7024666645400117,4.952314533387958e-06,0.0012796473836392264,0.1020021126005195,1.0160394796503835
383672.05903318373,,,,,,,0.0030020005904770886,0.11015170333466295,0.30801455250006793,0.8389008422868223,0.00011174687763994273,0.030526889892528608,,0.5480781271454456,5.766821940686451e-06,0.0010171582490561826,0.06682317593174769,0.773802463365227
460896.84177061974,,,,,,,0.0034777728813093767,0.11608080030342904,0.3305867269813634,0.8905891721928745,0.00012511777295454163,0.0244173393321947,,0.43255326882387557,6.682307273214727e-06,0.0009777484484959353,0.04573895570148068,0.577359623397399
553665.2819843693,,,,,,,0.004027781146628107,0.11831880428158503,0.3436267302368168,0.9233581787551275,0.00013997349217002852,0.020641921795562235,,0.3200860841964932,7.703946504289405e-06,0.0009473536888835454,0.030466703260555672,0.39442541858370106
665105.9775050343,,,,,,,0.004658808537308795,0.1171300237435029,0.3469064179099086,0.929215023430892,0.00015646329130312997,0.02177706255442957,,0.2244967772610913,8.835771071982745e-06,0.0009303698133488192,0.027009175521937268,0.2509768505365457
798977.2443875517,,,,,,,0.005377583919012274,0.12780821848455393,0.3440905853220997,0.8954440680523863,0.0001743466792853976,0.023603086173806465,,0.1497796580771853,1.0075438562587302e-05,0.005452851094581795,0.02598806815514676,0.16154373363891672
959793.8653983788,,,,,,,0.006181123910964037,0.1486039339898213,0.3914003485596682,0.9600388908669295,0.000192753478724203,0.025882658358472255,,0.14226229812565006,1.139841684405507e-05,0.005755039065523104,0.025752415434615372,0.14742183961556066
1152979.3501972682,,,,,,,0.006427381385267439,0.16401167393617544,0.43016387259191013,1.0231361277000897,0.00020044120255589826,0.026058524389206195,,0.13848654598590127,1.2766122296337112e-05,0.0010075995356829404,0.024679950378395432,0.13407936483003446
1385048.8421589755,,,,,,,0.007250682122572155,0.19804700615908977,0.5227310206796929,0.9617410191429716,0.00021597598616418523,0.02839373563447556,,0.14793169480139845,1.4130683870711147e-05,0.0010578810908037084,0.02546054253523189,0.13372240400260083
1663828.8403323945,,,,,,,0.007462576484468908,0.21736322121125218,0.5814559875939764,,0.00021988973130995793,0.02798381728769561,,0.14809473315032307,1.5271819506695872e-05,0.0010402417790573715,0.024627676033142976,0.1281872856697195
1998721.1466179462,,,,,,,0.0076668361921024,0.23840554403551106,0.6458173656325288,,0.00022072148665441826,0.02705503000456333,,0.14421998125554047,1.615350083332412e-05,0.0010004696302760574,0.023315079034492037,0.12036418867069543
2401019.9397310987,,,,,,,0.008027624826605101,0.2675494355176724,0.7305610820254227,,0.00022009843259135353,0.026252414047565287,,0.13642249204588097,1.6633553876210794e-05,0.000946265673800406,0.021545789309965535,0.10833963512342137
2884292.6692105965,,,,,,,0.008102597242750892,0.2874742496815599,0.7899647532489151,,0.000208961682090128,0.023556677478250965,,0.11783589057436927,1.6544943378882238e-05,0.0008412164789476373,0.01842256955056465,0.08737299170018886
3464837.6150485743,,,,,,,0.007995833405688907,0.2982957302565383,0.8219597784844304,,0.00018818168297222992,,,0.0919836872008517,1.5712205960763392e-05,0.0007010538922051224,0.014525758758002105,0.06145392522167903
4162233.544053341,,,,,,,0.007779138080072939,0.3020436094793322,0.8343210419661364,,0.00016198224301958164,,,0.06298999094208924,1.3777597617350978e-05,0.000543934867332424,0.010231148555608804,0.032568826153411834
4999999.999999999,,,,,,,0.007376996401623259,0.29755795696625276,0.8200302208162569,,0.0001287254696707707,,,0.03505524558758566,1.0596393202777499e-05,0.0003771838837579866,0.005765969748456445,0.005858285526640472
