Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
153370.6915512147,0.0012799248262087577,,0.0011564426030329263,0.0012481944532546866,0.0012655393527323741,0.001267598991925972,6.28998270475415e-05,0.00012027816513623252,0.00017147208797710888,0.0002552557202007127,2.0406398976139176e-05,0.0004906990197608915,,0.00024226180768177272,1.435464381565471e-06,7.351951363945147e-05,0.00015048539371178941,0.0002446131658470855
184240.85281127229,0.0015999975097532558,,0.0014723455269091013,0.001549799997095062,0.001571565927276048,0.0015783248467694314,6.962806851813948e-05,0.00012711397777299613,0.00017632803044811962,0.00025749486842739124,2.0304132642211953e-05,0.0004980197114880305,,0.00023892753782843966,8.147359250639669e-07,7.148850501602876e-05,0.00014838580094199763,0.00024195082630282423
221324.50145006945,0.002143004917243188,,0.001958919075650871,0.0020884483603301023,0.0021294713996757066,0.002134395616842484,7.819456059310857e-05,0.00013522530978871128,0.00018149702576292573,0.0002562147098816008,2.049411183671114e-05,0.0005029729091411556,,0.0002288758527757371,8.136554943555252e-07,6.911915173053555e-05,0.0001432408158671388,0.000232607136794424
265872.27639626246,0.002232526637680997,,0.002331571951393139,0.0023181696800541746,0.0022563039306698097,0.002235528352935473,8.867029001458082e-05,0.00014593445856383828,0.0001884828021508616,0.0002569494605126933,2.1001821099203913e-05,0.000511209019418167,,0.0002141598324019306,8.872648589210164e-07,6.667323942268627e-05,0.00013707024545742998,0.00021818680711271563
319386.54280478624,0.0020423320287249053,,0.002335894242364696,0.002166602365595724,0.002077730034274139,0.002053510054459945,0.00010122561990295875,0.00015972676802863614,0.00019872790204883764,0.0002595382912109392,2.1823104519851783e-05,0.0005291328752519003,,0.00019866001810697233,1.0226105467813634e-06,6.403593736492921e-05,0.00013200437220814085,0.00020198701868009983
383672.05903318373,0.0017709750718491873,,0.002104255249748329,0.0018915683767205711,0.001808237248728993,0.0017851414794276509,0.00017576695290462407,0.00024462504580985076,0.0002748801240419086,0.00032329333001523963,2.8856278315335035e-05,0.000923229880797273,,0.0002599674641549036,1.284103157755609e-06,0.00010669664830040802,0.00020477962374807097,0.00026003067221456316
460896.84177061974,0.0014014519984756994,,0.0016724924167626568,0.0014926707347172503,0.0014308312328916335,0.0014142712630633818,0.000201500088709115,0.00028626472709281266,0.00031537578585843357,0.00035925959477074373,3.122719112023421e-05,0.0010777685805576087,,0.0002817296743578522,1.473562862498029e-06,0.00010736178570791739,0.0002255530330417671,0.0002774878123153971
553665.2819843693,0.0011025416389387893,,0.0012727488314007267,0.0011585612567700763,0.0011220477165931435,0.001112591292536106,0.0002311178277006401,0.0003385850287686426,0.0003684415555504205,0.0004114763694824698,3.4268663499977675e-05,0.0012730785134755715,,0.00031759158835502864,1.6858861895552996e-06,0.0001109433583643335,0.00024890756060723905,0.00030816583429108327
665105.9775050343,0.0009463703779491635,,0.0010182867696866167,0.0009721032071672818,0.0009568900660744499,0.0009532461110646172,0.0002645258837414028,0.0004018952480769871,0.00043565015806388413,0.0004825086405178345,3.8041663288832656e-05,0.0014948390398535696,,0.000363233104757792,1.919949765321477e-06,0.0001185607091427135,0.0002668889476415241,0.0003413937678300276
798977.2443875517,0.0009766798518011238,,0.0009779096144609152,0.0009826092774225526,0.0009811617202025759,0.0009811389552079955,0.0003016625619934078,0.00047285872413788815,0.0005153101218117271,0.0005703407318637839,4.243242117501177e-05,0.0016807548274140813,,0.0004153387913260406,2.177776166673376e-06,0.0001304902643487118,0.0002834267017874613,0.0003687733115830625
