run_name,v_frag,scenario,alpha,M_emb0,r_gap,M_gap,n_gaps,amp_val,M_final,M_prev,T_final_Myr,M_iso_E,R_variation,frac_h2o_percent,Is_Valid,Discard_Reason,Cat_Masa,Cat_Agua
run_r5.0_m0.3_a0.0001,10,general,0.0001,0.01,5.0,0.3,0,0.0,0.08287262030905221,0.08287250306416942,10.0,3.9554729419867884,1.4147601747270757e-06,0.003916874636426416,True,,< 0.1 M_E,
run_r5.0_m0.5_a0.0001,10,general,0.0001,0.01,5.0,0.5,0,0.0,0.07497049660555132,0.07496834667993886,10.0,3.9554729419867884,2.867695573321632e-05,0.021742255390159424,True,,< 0.1 M_E,
run_r5.0_m1.0_a0.0001,10,general,0.0001,0.01,5.0,1.0,0,0.0,0.06136216659733827,0.06136200684560645,10.0,3.9554729419867884,2.6034239121721186e-06,0.05194897960879915,True,,< 0.1 M_E,
run_r5.0_m3.0_a0.0001,10,general,0.0001,0.01,5.0,3.0,0,0.0,0.25028786308136125,0.2502878629718884,10.0,3.9554729419867884,4.373878695578713e-10,0.011587051514523298,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r5.0_m5.0_a0.0001,10,general,0.0001,0.01,5.0,5.0,0,0.0,0.1603070476833398,0.16030704768333856,10.0,3.9554729419867884,7.791303755842955e-15,0.002080413921677356,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m0.01_a0.0001,10,general,0.0001,0.1,10.0,0.01,0,0.0,3.9554729419867884,1.9920634176044953,0.17073526474706888,3.9554729419867884,0.49637794346688036,0.0,True,,Isolation Mass,0% Agua
run_r10.0_m0.1_a0.0001,10,general,0.0001,0.1,10.0,0.1,0,0.0,3.9554729419867884,3.870410194477836,0.3430469286314919,3.9554729419867884,0.02150507632248553,0.0,True,,Isolation Mass,0% Agua
run_r10.0_m0.3_a0.0001,10,general,0.0001,0.1,10.0,0.3,0,0.0,3.1275241897361257,3.127523876204053,10.0,3.9554729419867884,1.0024928784810133e-07,0.0017911023608321642,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m0.5_a0.0001,10,general,0.0001,0.1,10.0,0.5,0,0.0,2.6748824879207405,2.6748824127139668,10.0,3.9554729419867884,2.811591688127021e-08,0.0024612233074695,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m1.0_a0.0001,10,general,0.0001,0.1,10.0,1.0,0,0.0,2.175729314447467,2.1757292529516787,10.0,3.9554729419867884,2.8264448179806008e-08,0.002651506997668721,True,,> 0.1 M_E (No iso),Mundos Áridos
