Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
14773.776525985097,8.702609265294481e-05,8.632322033573503e-05,8.630310438660638e-05,8.630243458414288e-05,9.045077723150718e-05,8.651491485825447e-05,8.631087646802926e-05,8.63030864834552e-05,0.00011456371685419908,8.911422982849082e-05,8.651724519256887e-05,8.63243746608705e-05,0.00016957931833570805,0.00010328686641815354,8.838043955024244e-05,8.655285573087868e-05,0.00018010916804010735,0.00018511357877872003,0.00010534522791816325,8.883062453234059e-05
17269.832906594325,0.00010962236838817085,0.00010854051351115446,0.00010849555622938212,0.00010849377940631844,0.00011148459316143167,0.00010891285323041955,0.00010851507153898654,0.00010849496575590645,0.0001376250582428018,0.0001128829685115712,0.00010890715868858147,0.000108533663650906,0.00019668753252830018,0.00013481341107556,0.00011208330136062983,0.00010894704718301951,0.000193795406324887,0.00023899036384687766,0.00014062070825769657,0.00011304716460001918
20187.60254679039,0.00014301205592864852,0.00014136984634097183,0.0001412806242757636,0.00014127432814399488,0.0001384091098770024,0.00014191389571503732,0.00014134243546981562,0.0001412762772534104,0.00016331238787146984,0.00014697311006343916,0.00014197870892240783,0.00014134217884498312,0.00022540575477401903,0.00017875894537577874,0.00014673508159042392,0.0001420519661298747,0.0002047726508601494,0.0003022247410151696,0.00019391227305060044,0.00014898299639974633
23598.33466782194,0.00019387145860744193,0.0001913865973759421,0.00019125742950898417,0.00019122867049461978,0.00017295887424709222,0.0001913331818927111,0.00019150837321245395,0.00019122998692518156,0.0001911770579259564,0.00019556569458420436,0.00019248307463022585,0.00019131752640424993,0.0002590292134644345,0.00023744294590863357,0.00019873588083527127,0.0001924374122309891,0.00021536046624558158,0.0003721933166338093,0.00027337612058730976,0.0002033426699133839
27585.316176291868,0.00027220077450972047,0.0002684451712044039,0.0002683639232932411,0.0002682568554211312,0.00021808225139503812,0.0002643249509719364,0.00026920501541828623,0.00026826149983395775,0.00022065187641871764,0.00026197250478963985,0.0002704429712738765,0.000268539489344119,0.0002814252468066186,0.0003109002141926387,0.00027734227515638366,0.00027079699355921083,0.00020121256189750691,0.00044550557261129053,0.00038486221686465094,0.00028760651766951417
32245.90545296398,0.00039194182693225166,0.0003863792307106234,0.0003865093336744285,0.0003862493131338435,0.0002791608934640394,0.00036888332836407245,0.00038813552304388377,0.00038638354317171997,0.000251090129896131,0.00034649837797881555,0.0003867581211221688,0.0003885942788510177,0.0002993126644156713,0.00039628288719867344,0.0003918806724759749,0.0003953202406323797,0.00019287652643405762,0.0005187173793188143,0.0005401516330889589,0.00042075751562704877
37693.909753883636,0.0005712993749651119,0.0005634268468836523,0.0005638377641467851,0.0005634707251680332,0.0003657721783110468,0.0005149245635443778,0.0005641507320935518,0.0005643828849126176,0.000281788058820745,0.00044517096826153513,0.0005458646950420032,0.0005737137899258782,0.00032368266529425593,0.0004884104395357636,0.0005452949739980645,0.0005909252762067579,0.00017835550418113244,0.0005888705015984208,0.000709891463179943,0.0006244019841906007
44062.36427773573,0.0008326812374295223,0.0008221660979298717,0.0008226868292448425,0.0008224973106205485,0.0004939102380646515,0.0007178369899548814,0.0008146488866929147,0.0008254101869604874,0.00031198636666766866,0.000550412262268235,0.0007383094367451187,0.000842745063010325,0.0003452501159701138,0.0005811166920158956,0.0007287701804992719,0.0008723891964263764,0.00015770506524505346,0.0006536664897904554,0.0008768244452688895,0.0009057383588814
51506.78076168122,0.0012025323099010554,0.0011892245699519077,0.001189618571511647,0.0011899226518831685,0.0006882784480828769,0.0010028161346651576,0.0011619727394493323,0.0011946269785852726,0.0003408577962176612,0.000653333757733715,0.0009417755707582937,0.0011868190779196902,0.0003626833629903903,0.0006685884307693346,0.0009228060576634417,0.0012202285787594747,0.00013206109072624872,0.0007112489532378335,0.001036997061052286,0.0012427536688220525
60208.94493336126,0.001710927187625888,0.0016947557076721909,0.0016950387684148832,0.001695790704480865,0.0009843055978484838,0.0014071962884056183,0.0016378213459458946,0.0016981194556697499,0.0003674942626771954,0.0007461516115082889,0.0011307499115293523,0.0015583229687095024,0.0003744107588053852,0.0007462055723530953,0.0011045713029235876,0.00158093463957458,0.00010391914979857031,0.000759734600324441,0.0011773813787468723,0.0015885626944160819
70381.35554931547,0.002390543545051693,0.0023715150439475585,0.002371943255644951,0.0023727164071491724,0.0014285369114512142,0.001978472557328234,0.002282341906302998,0.0023670708150908826,0.0003909208011589338,0.0008236579261976795,0.0012860439486411662,0.001895295840425859,0.0003787713558376371,0.0008107258780128968,0.001255729684307122,0.0018958705186916947,7.684182022074659e-05,0.000797564641500062,0.0012911035389678582,0.0018925131008822038
82272.41341700457,0.0032747375258309064,0.0032529737736401304,0.0032537136931990868,0.0032541921034806437,0.002077022165005729,0.002767834127455973,0.0031366274377693376,0.003239840181256129,0.0004101827688018367,0.0008833931940901568,0.0013982479259875419,0.002153690673820055,0.0003743437691445112,0.0008598283300613879,0.001366319429467966,0.002127838884920949,5.435507387489824e-05,0.0008253755003833629,0.0013760169943894673,0.0021199977597329417
96172.48711152964,0.0043918363208795,0.0043678378108033405,0.004368756743095448,0.0043691149850454275,0.002990691688947486,0.0038214137526905445,0.0042338211468890274,0.004350803554917029,0.00042451387333929114,0.0009248332284444299,0.001465960703773958,0.0023165465286159315,0.00036038389371377544,0.0008914267948266497,0.001433763968413715,0.002265887141171069,3.869071015401293e-05,0.0007794092699914684,0.001449017913178266,0.0022584473151497503
112421.00350620862,0.0057571684114449545,0.005731898452355846,0.00573261273251488,0.005733215874885136,0.004223783643022935,0.005167870628875207,0.005590792003747694,0.005714349170936758,0.0004337201042872718,0.000948254153039188,0.0014926091203064235,0.002385030512471256,0.0003373628382435101,0.0009031509205887356,0.001459124708143314,0.0023154040724946423,3.0166077135296288e-05,0.0007489697302007492,0.0013907358553097854,0.00231117663226528
131414.7362611758,0.007355257038179172,0.00733051183552183,0.007330525007892316,0.007331479754867573,0.005804448121291481,0.006803811222004338,0.0071941434929072845,0.007309397086783118,0.00043876674726051057,0.0009540252652093933,0.0014837217326022778,0.002367793301904425,0.00030733916064051847,0.0008923431134845033,0.001443701096210434,0.0022862956112351257,2.7456570218353793e-05,0.0006953948479086619,0.0013568984851413807,0.0022871366491282324
153617.49466718297,0.009116866493445869,0.009095215454600125,0.009094089021130763,0.009095320929512957,0.007710731024713466,0.008668213991900292,0.00897553174660215,0.009060904875547032,0.00044175065853424567,0.0009429597839918091,0.0014433601663744744,0.0022777515743847426,0.0002738835848913185,0.0008570352595082681,0.0013875704116951687,0.002186376515084229,2.864823418478879e-05,0.0006195895228114506,0.0012852940541300123,0.0021934006196093064
179571.44943716406,0.010901986600625746,0.01088625282415201,0.010883688187456914,0.010885321202284998,0.009836665595498478,0.01061818461847791,0.010791701909850071,0.010826935466174858,0.0004458575876940124,0.0009176895857897771,0.001374721610147886,0.002227886063990575,0.0002416369701300075,0.0007971655339209238,0.0012905284350623047,0.0020204501643384803,3.206890443527288e-05,0.0005262074096060165,0.001174791423183344,0.0020339045014342028
209910.37201085544,0.01321469061214145,0.013193366103184195,0.01318657689201913,0.013185433753712977,0.012196448344123478,0.01283670203365031,0.013032131322267382,0.013095116879864838,0.00045619455735533554,0.0008836096469374277,0.0012862386170692103,0.0019538112441891825,0.00021594571823939368,0.000716327064939612,0.001155198731183027,0.0017956204180868962,3.703773946191202e-05,0.00042438815655106155,0.0010275623697768022,0.0018131157619605126
245375.11066398167,0.01623648515098669,0.01623004112047194,0.016226332160720253,0.01622461447575374,0.015239581914659822,0.015957560208369026,0.01615464681683207,0.01618178932918443,0.00047982544892950785,0.0008526901894242711,0.0011962054432532315,0.0016602953315180136,0.00020136309256330032,0.0006232184467269003,0.000990387315024599,0.001522609611865955,4.291858711755192e-05,0.0003262523995050809,0.0008537556992948281,0.0015421107887239327
286831.6813342009,0.016583908429348454,0.016794627107979104,0.015669937449417415,0.01679496159418345,0.017459998874624322,0.017293067787766098,0.017259257513130177,0.01722600455761089,0.0005196426339866694,0.000836995538695609,0.0011210573651038308,0.0015714940558296253,0.0001989788656202307,0.0005285710475644995,0.0008115274451255955,0.0012234946046880968,4.859325327673247e-05,0.00024333116149161116,0.0006706927458624418,0.0012398549593379687
335292.4149249553,0.01506701012685785,0.014559001088946977,0.013377535845071925,0.014424400271249999,0.0167466060297769,0.015044117226156756,0.013653491548348384,0.014146172530909273,0.0005752449185202069,0.0008421673096357524,0.001072922204565771,0.0014214190616835543,0.000207686774887611,0.0004439810049020332,0.0006369261748687544,0.0009255339698744647,5.447254659067535e-05,0.00018259222608005277,0.0004982992911002626,0.0009326959277417557
391940.6774847221,0.011152387525871443,0.010557083272631579,0.010269709291716195,0.010812988745760754,0.01481930898704642,0.012336723680023365,0.011818550859140492,0.011047875727515893,0.0006632588412995022,0.0008947938451404208,0.0010837494829361444,0.0013522525287317788,0.00022768705028759773,0.00038896215589460936,0.0004962747764410136,0.0006700069466038239,6.095366708278038e-05,0.00014956369017481153,0.0003619115030489978,0.0006636262577544849
458159.7669054491,0.0073843570455435215,0.007393059014447145,0.0073067970902156165,0.007395577800795805,0.00995089402434246,0.008271473648822525,0.007479287636206283,0.007479537527170066,0.0007429106966112542,0.0009495659614524726,0.001109834828408457,0.0013121691843087924,0.00025171090325701306,0.0003488155540197352,0.0003796053713160663,0.0004469769550623226,6.794484125628719e-05,0.00013217481133759312,0.0002558730561654926,0.0004296850955771703
535566.6917706897,0.0043954349560337,0.0044039552769913615,0.004352632291555442,0.004405560207956072,0.006103327880950332,0.004892337743790637,0.004542057550727341,0.004463653298896364,0.0008392991275690959,0.0010425859027468065,0.0011897580630146481,0.001347058278531349,,0.00033896825135786013,0.0003127243702875371,0.00029391127906461256,7.545112383536279e-05,0.0001312160025278286,0.00019633880978782436,0.0002677876585623906
626051.6572014828,0.0024342615793651323,0.0024392392913280547,0.002410874373993538,0.002440315183036279,0.0033546674535721854,0.002685351217340537,0.002510356220647908,0.0024733817596621355,0.0009519574865336083,0.0011665992569379335,0.00131653801092467,0.0014687311428117078,,0.0003551904896606367,0.0002932806130958171,0.00021248215161839834,8.344284915863531e-05,0.0001398156196117245,0.00017608588455730878,0.0001787145816440905
731824.2219076181,0.0014996553822005654,0.0014997537662746474,0.001482246529061343,0.001500473744443176,0.001850021195806295,0.0015915778416999427,0.001527101587779467,0.001514501355162956,0.001079140662708089,0.0013177674798211386,0.0015010533872164833,0.001651773042102761,,0.0003884215907690447,0.00030921190280604194,0.00018867065185315668,9.18729079202596e-05,0.0001526257305848322,0.00018078626499201667,0.00014761907693916498
855467.2535565684,0.0013612836830737551,0.0013572431881989644,0.0013413816103352572,0.0013579475344336622,0.0014266594783693964,0.001383985642757074,0.0013677943786954416,0.0013647267418962494,0.001220293179800075,0.0014930726066767624,0.0017131909666095457,0.001897459880730784,,0.00043130281274317284,0.00034541721966899197,0.00020295167252709634,0.00010341976221783789,0.0001665356506805188,0.00019815651602364537,0.00015281095808905576
1000000.0,0.0010425044115996984,0.0010389366408177503,0.0010268988119765954,0.0010397358575601756,0.001190775346737949,0.0010687410792102059,0.0010460895441935514,0.0010454895903314887,0.0013733386838053474,0.0016879555907823585,0.0019440018057553798,0.002184955117114473,,0.00047704638594331383,0.0003907529082367023,0.00023722617667529255,0.00011548845607670111,0.00017980787565327616,0.00021877298242238552,0.00017460046075834512
